Cycle: 5  cd16  2 nM_X	Cycle: 5  cd16  2 nM_Y	Fitted Cycle: 5  cd16  2 nM_X	Fitted Cycle: 5  cd16  2 nM_Y	Cycle: 6  cd16  4 nM_X	Cycle: 6  cd16  4 nM_Y	Fitted Cycle: 6  cd16  4 nM_X	Fitted Cycle: 6  cd16  4 nM_Y	Cycle: 7  cd16  8 nM_X	Cycle: 7  cd16  8 nM_Y	Fitted Cycle: 7  cd16  8 nM_X	Fitted Cycle: 7  cd16  8 nM_Y	Cycle: 8  cd16  16 nM_X	Cycle: 8  cd16  16 nM_Y	Fitted Cycle: 8  cd16  16 nM_X	Fitted Cycle: 8  cd16  16 nM_Y	Cycle: 9  cd16  32 nM_X	Cycle: 9  cd16  32 nM_Y	Fitted Cycle: 9  cd16  32 nM_X	Fitted Cycle: 9  cd16  32 nM_Y	Cycle: 10  cd16  8 nM_X	Cycle: 10  cd16  8 nM_Y	Fitted Cycle: 10  cd16  8 nM_X	Fitted Cycle: 10  cd16  8 nM_Y
-52.46	0.0482178	-52.46	0	-52.56	0.0553792	-52.56	0	-52.46	0.0592651	-52.46	0	-52.46	0.0549927	-52.46	0	-52.46	0.09729	-52.46	0	-52.46	0.0180054	-52.46	0
-52.36	0.0319417	-52.36	0	-52.46	0.052124	-52.46	0	-52.36	0.0508016	-52.36	0	-52.36	0.044576	-52.36	0	-52.36	0.0927328	-52.36	0	-52.36	0.0181478	-52.36	0
-52.26	0.0338946	-52.26	0	-52.36	0.0534261	-52.36	0	-52.26	0.0304767	-52.26	0	-52.26	0.0301104	-52.26	0	-52.26	0.106404	-52.26	0	-52.26	0.0204669	-52.26	0
-52.16	0.0351972	-52.16	0	-52.26	0.0846756	-52.26	0	-52.16	0.0267133	-52.16	0	-52.16	0.0302534	-52.16	0	-52.16	0.113566	-52.16	0	-52.16	0.022563	-52.16	0
-52.06	0.0273844	-52.06	0	-52.16	0.091837	-52.16	0	-52.06	0.0177409	-52.06	0	-52.06	0.0388591	-52.06	0	-52.06	0.116313	-52.06	0	-52.06	0.0147502	-52.06	0
-51.96	4.21143e-3	-51.96	0	-52.06	0.0996501	-52.06	0	-51.96	-3.11279e-3	-51.96	0	-51.96	0.0316772	-51.96	0	-51.96	0.116943	-51.96	0	-51.96	-4.5166e-3	-51.96	0
-51.86	-5.43213e-3	-51.86	0	-51.96	0.050293	-51.96	0	-51.86	-0.013916	-51.86	0	-51.86	0.0189209	-51.86	0	-51.86	0.10614	-51.86	0	-51.86	-4.88281e-4	-51.86	0
-51.76	-0.016886	-51.76	0	-51.86	-1.52588e-3	-51.86	0	-51.76	-0.0245764	-51.76	0	-51.76	9.4202e-3	-51.76	0	-51.76	0.0810144	-51.76	0	-51.76	0.0122888	-51.76	0
-51.66	-5.67603e-3	-51.66	0	-51.76	-0.067668	-51.76	0	-51.66	-0.0286252	-51.66	0	-51.66	2.25854e-3	-51.66	0	-51.66	0.0765994	-51.66	0	-51.66	0.0336306	-51.66	0
-51.56	-0.0174154	-51.56	0	-51.66	-0.151795	-51.66	0	-51.56	-0.0356649	-51.56	0	-51.56	1.87174e-3	-51.56	0	-51.56	0.0609538	-51.56	0	-51.56	0.0363566	-51.56	0
